"district","date","variable","value"
"42",1980-04-01,"eddi3",0.192475156350569
"43",1980-04-01,"eddi3",-0.449063219130039
"44",1980-04-01,"eddi3",-1.8091396972537
"45",1980-04-01,"eddi3",0.156076744198799
"47",1980-04-01,"eddi3",-1.56002169025355
"48",1980-04-01,"eddi3",-0.788848686218262
"49",1980-04-01,"eddi3",-1.40475677326322
"5",1980-04-01,"eddi3",-1.65675046294928
"50",1980-04-01,"eddi3",-1.94594150119358
"51",1980-04-01,"eddi3",-0.480056753754616
"52",1980-04-01,"eddi3",-0.446325447824266
"53",1980-04-01,"eddi3",-0.992614388465881
"54",1980-04-01,"eddi3",-1.51370124022166
"55",1980-04-01,"eddi3",-1.06880635023117
"56",1980-04-01,"eddi3",-0.676052595887865
"57",1980-04-01,"eddi3",-2.03725658357143
"58",1980-04-01,"eddi3",-2.03554682135582
"59",1980-04-01,"eddi3",-1.24904516481218
"6",1980-04-01,"eddi3",-1.85144786536694
"60",1980-04-01,"eddi3",-0.477447054386139
"61",1980-04-01,"eddi3",-0.44689080119133
"62",1980-04-01,"eddi3",-1.07325944662094
"63",1980-04-01,"eddi3",-0.0195169713762071
"64",1980-04-01,"eddi3",-2.0122836609276
"65",1980-04-01,"eddi3",-1.5956500503752
"66",1980-04-01,"eddi3",-0.601784870028496
"67",1980-04-01,"eddi3",-0.94309914595372
"68",1980-04-01,"eddi3",-0.582448948513378
"69",1980-04-01,"eddi3",-0.9277747631073
"7",1980-04-01,"eddi3",-1.14481442570686
"70",1980-04-01,"eddi3",0.392743553434099
"71",1980-04-01,"eddi3",-1.3562544895255
"72",1980-04-01,"eddi3",0.462800052430895
"73",1980-04-01,"eddi3",0.268731435139974
"76",1980-04-01,"eddi3",-1.13337469100952
"77",1980-04-01,"eddi3",-1.14081482589245
"78",1980-04-01,"eddi3",-1.72163046399752
"79",1980-04-01,"eddi3",0.0261560678482056
"8",1980-04-01,"eddi3",-1.06187455604474
"80",1980-04-01,"eddi3",-0.534456903284246
"9",1980-04-01,"eddi3",-1.01003564596176
"1",1980-05-01,"eddi3",-1.39105589215348
"10",1980-05-01,"eddi3",-0.990656966672224
"11",1980-05-01,"eddi3",-0.792143266201019
"12",1980-05-01,"eddi3",-0.43377545552376
"13",1980-05-01,"eddi3",-0.118671139081319
"14",1980-05-01,"eddi3",-0.723186850547791
"15",1980-05-01,"eddi3",-0.518781107664108
"16",1980-05-01,"eddi3",-0.249990403652191
"17",1980-05-01,"eddi3",-1.01211355477571
"18",1980-05-01,"eddi3",-0.461813594613756
"19",1980-05-01,"eddi3",-0.778711089066097
"2",1980-05-01,"eddi3",-1.41561658382416
"20",1980-05-01,"eddi3",0.121434338581868
"21",1980-05-01,"eddi3",0.50672692656517
"22",1980-05-01,"eddi3",0.30546427766482
"23",1980-05-01,"eddi3",-0.953103353579839
"24",1980-05-01,"eddi3",0.297542154788971
"25",1980-05-01,"eddi3",-0.0265020983559745
"26",1980-05-01,"eddi3",-0.448903850714366
"27",1980-05-01,"eddi3",0.22469524294138
"28",1980-05-01,"eddi3",-0.792872120936712
"29",1980-05-01,"eddi3",-0.673036788191114
"3",1980-05-01,"eddi3",-1.05349586226723
"30",1980-05-01,"eddi3",-1.09415095103414
"31",1980-05-01,"eddi3",-1.24766154090563
"32",1980-05-01,"eddi3",-1.67327437902752
"33",1980-05-01,"eddi3",-2.03008091449738
"34",1980-05-01,"eddi3",-1.8865675330162
"35",1980-05-01,"eddi3",0.474121493451736
"36",1980-05-01,"eddi3",-0.924831375479698
"37",1980-05-01,"eddi3",0.188097210491405
"38",1980-05-01,"eddi3",-0.249183078606923
"39",1980-05-01,"eddi3",0.109779137831468
"4",1980-05-01,"eddi3",-0.696204431851705
"40",1980-05-01,"eddi3",-0.00565476969974797
"41",1980-05-01,"eddi3",0.228206798434258
"42",1980-05-01,"eddi3",0.157368719577789
"43",1980-05-01,"eddi3",-0.566681290045381
"44",1980-05-01,"eddi3",-1.98938966542482
"45",1980-05-01,"eddi3",0.104280143976212
"47",1980-05-01,"eddi3",-1.40857122067747
"48",1980-05-01,"eddi3",-0.518755638599396
"49",1980-05-01,"eddi3",-1.29909017495811
"5",1980-05-01,"eddi3",-1.18259211629629
"50",1980-05-01,"eddi3",-1.998189051946
"51",1980-05-01,"eddi3",-0.758504101634026
"52",1980-05-01,"eddi3",-0.200865136252509
"53",1980-05-01,"eddi3",-0.938490258795874
"54",1980-05-01,"eddi3",-2.08748626708984
"55",1980-05-01,"eddi3",-1.56556880474091
"56",1980-05-01,"eddi3",-1.06527066656521
"57",1980-05-01,"eddi3",-2.08748626708984
"58",1980-05-01,"eddi3",-2.0135561645031
"59",1980-05-01,"eddi3",-0.678998305684044
"6",1980-05-01,"eddi3",-1.25812251865864
"60",1980-05-01,"eddi3",-0.369260277748108
"61",1980-05-01,"eddi3",-0.756367862224579
"62",1980-05-01,"eddi3",-0.483985307216644
"63",1980-05-01,"eddi3",-0.373096876674228
"64",1980-05-01,"eddi3",-1.66008827151084
"65",1980-05-01,"eddi3",-1.48588672430828
"66",1980-05-01,"eddi3",-0.81065802110566
"67",1980-05-01,"eddi3",-1.10600161310789
"68",1980-05-01,"eddi3",-0.0352303873408924
"69",1980-05-01,"eddi3",-1.00641391277313
"7",1980-05-01,"eddi3",-0.928902441263199
"70",1980-05-01,"eddi3",0.285802398409162
"71",1980-05-01,"eddi3",-1.03103454994119
"72",1980-05-01,"eddi3",0.427494765983688
"73",1980-05-01,"eddi3",0.268731435139974
"76",1980-05-01,"eddi3",-0.90163654088974
"77",1980-05-01,"eddi3",-0.674473807215691
"78",1980-05-01,"eddi3",-1.07349452873071
"79",1980-05-01,"eddi3",-0.0959658374389013
