"ID","Name/ Description","Data Type","Time Step","Sequence ID","Units","Start","End","Input Type","Input Name"
0203700-2,East Gravel Lakes - Account 2,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
0203837,Barr Lake,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
0203837-1,Barr Lake - Account 1,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
0203837-2,Barr Lake - Account 2,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
0203858,Lower Latham Reservoir,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
0203858-1,Lower Latham Reservoir - Account 1,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
0203876,Milton Reservoir,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
0203876-1,Milton Reservoir - Account 1,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
0203903,Standley Lake,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
0203903-1,Standley Lake - Account 1,Initial_Storage,Month,,ACFT,1970-01,2012-12,StateModB,P:\Projects\CDSS StateMod\SWSI 2018\Surface Water Models\SPDSS_FullModel\SP2016_08172017\StateMod\SP2016_SWSI_B.b44
