Date,36_AGG_IrrigDemand,36_AGG_IrrigSupply,36_AGG_IrrigShortage,36_AGG_IrrigSupDirectFlow,36_AGG_MunDemand,36_AGG_MunSupply,36_AGG_MunShortage,36_ADC017_IrrigDemand,36_ADC018_IrrigDemand,36_ADC019_IrrigDemand,36_ADC017_IrrigSupply,36_ADC018_IrrigSupply,36_ADC019_IrrigSupply,36_ADC017_IrrigShortage,36_ADC018_IrrigShortage,36_ADC019_IrrigShortage,36_ADC017_IrrigSupDirectFlow,36_ADC018_IrrigSupDirectFlow,36_ADC019_IrrigSupDirectFlow,3600649_D_IrrigDemand,3600649_D_IrrigSupply,3600649_D_IrrigShortage,3600649_D_IrrigSupDirectFlow,3600662_D_IrrigDemand,3600662_D_IrrigSupply,3600662_D_IrrigShortage,3600662_D_IrrigSupDirectFlow,3600776_D_IrrigDemand,3600776_D_IrrigSupply,3600776_D_IrrigShortage,3600776_D_IrrigSupDirectFlow,3600868_D_IrrigDemand,3600868_D_IrrigSupply,3600868_D_IrrigShortage,3600868_D_IrrigSupDirectFlow,36_KeyMun_MunDemand,36_KeyMun_MunSupply,36_KeyMun_MunShortage
1972-07,23256.9994,21769.9993,1487.0003,21769.9993,67.0000,67.0000,0.0000,7513.0000,3393.9998,2221.9998,7512.9995,3393.9998,2221.9998,.0005,0.0000,0.0000,7512.9995,3393.9998,2221.9998,4784.0000,3297.0005,1486.9998,3297.0005,2442.0000,2442.0000,0.0000,2442.0000,1979.9999,1979.9999,0.0000,1979.9999,922.0000,921.9999,.0001,921.9999,67.0000,67.0000,0.0000
1972-08,16062.9994,15498.4254,589.8375,15473.1620,47.0000,47.0000,0.0000,5954.0000,2538.0000,2197.9998,5954.0000,2538.0000,2197.9998,0.0000,0.0000,0.0000,5954.0000,2538.0000,2197.9998,2274.9998,1885.1624,389.8376,1885.1624,463.0000,488.2634,0.0000,463.0000,1979.9999,1979.9999,0.0000,1979.9999,655.0000,455.0000,200.0000,455.0000,47.0000,47.0000,0.0000
1972-09,4348.0000,4364.8089,0.0000,4348.0000,31.0000,31.0000,.0000,2049.0000,616.0000,416.0000,2049.0000,616.0000,421.3600,0.0000,0.0000,0.0000,2049.0000,616.0000,416.0000,495.0000,495.0000,0.0000,495.0000,208.0000,219.4489,0.0000,208.0000,433.0000,433.0000,0.0000,433.0000,131.0000,131.0000,0.0000,131.0000,31.0000,31.0000,.0000
1972-10,641.0000,642.5200,0.0000,641.0000,22.0000,22.0000,.0000,355.0000,164.0000,62.0000,355.0000,164.0000,63.5200,0.0000,0.0000,0.0000,355.0000,164.0000,62.0000,50.0000,50.0000,0.0000,50.0000,10.0000,10.0000,0.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22.0000,22.0000,.0000
1972-11,94.0000,94.0000,0.0000,94.0000,23.0000,23.0000,.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,94.0000,94.0000,0.0000,94.0000,0.0000,0.0000,0.0000,0.0000,23.0000,23.0000,.0000
1972-12,1.0000,1.0000,0.0000,1.0000,30.0000,30.0000,.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.0000,30.0000,.0000
1973-01,76.0000,76.0000,0.0000,76.0000,28.0000,28.0000,.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,76.0000,76.0000,0.0000,76.0000,0.0000,0.0000,0.0000,0.0000,28.0000,28.0000,.0000
1973-02,181.0000,181.0000,0.0000,181.0000,29.0000,29.0000,.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,180.0000,180.0000,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000,29.0000,29.0000,.0000
1973-03,121.0000,121.0000,0.0000,121.0000,35.0000,35.0000,0.0000,0.0000,1.0000,12.0000,0.0000,1.0000,12.0000,0.0000,0.0000,0.0000,0.0000,1.0000,12.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,108.0000,108.0000,0.0000,108.0000,0.0000,0.0000,0.0000,0.0000,35.0000,35.0000,0.0000
1973-04,354.0000,354.0000,0.0000,354.0000,26.0000,26.0000,.0000,9.0000,5.0000,165.0000,9.0000,5.0000,165.0000,0.0000,0.0000,0.0000,9.0000,5.0000,165.0000,0.0000,0.0000,0.0000,0.0000,135.0000,135.0000,0.0000,135.0000,40.0000,40.0000,0.0000,40.0000,0.0000,0.0000,0.0000,0.0000,26.0000,26.0000,.0000
