"Date","99_AGG_IrrigDemand","99_AGG_IrrigSupply","99_AGG_IrrigShortage","99_AGG_IrrigSupDirectFlow","99_AGG_MunDemand","99_AGG_MunSupply","99_AGG_MunShortage","9900528_MunDemand","9900528_MunSupply","9900528_MunShortage"
"1986-05",NA,NA,NA,NA,4554,4554,0,4554,4554,0
"1986-06",NA,NA,NA,NA,5053,5053,0,5053,5053,0
"1986-07",NA,NA,NA,NA,640,640,0,640,640,0
"1986-08",NA,NA,NA,NA,84,84,0,84,84,0
"1986-09",NA,NA,NA,NA,43,43,0,43,43,0
"1986-10",NA,NA,NA,NA,59,59,0,59,59,0
"1986-11",NA,NA,NA,NA,57,57,0,57,57,0
"1986-12",NA,NA,NA,NA,56,56,0,56,56,0
"1987-01",NA,NA,NA,NA,52,52,0,52,52,0
"1987-02",NA,NA,NA,NA,45,45,0,45,45,0
"1987-03",NA,NA,NA,NA,54,54,0,54,54,0
"1987-04",NA,NA,NA,NA,341,341,0,341,341,0
"1987-05",NA,NA,NA,NA,4554,4554,0,4554,4554,0
"1987-06",NA,NA,NA,NA,5053,5053,0,5053,5053,0
"1987-07",NA,NA,NA,NA,640,640,0,640,640,0
"1987-08",NA,NA,NA,NA,84,84,0,84,84,0
"1987-09",NA,NA,NA,NA,43,0,43,43,0,43
"1987-10",NA,NA,NA,NA,59,0,59,59,0,59
"1987-11",NA,NA,NA,NA,57,57,0,57,57,0
"1987-12",NA,NA,NA,NA,56,56,0,56,56,0
"1988-01",NA,NA,NA,NA,52,52,0,52,52,0
"1988-02",NA,NA,NA,NA,45,45,0,45,45,0
"1988-03",NA,NA,NA,NA,54,54,0,54,54,0
"1988-04",NA,NA,NA,NA,341,341,0,341,341,0
"1988-05",NA,NA,NA,NA,4554,4554,0,4554,4554,0
"1988-06",NA,NA,NA,NA,5053,5053,0,5053,5053,0
"1988-07",NA,NA,NA,NA,640,640,0,640,640,0
"1988-08",NA,NA,NA,NA,84,84,0,84,84,0
"1988-09",NA,NA,NA,NA,43,43,0,43,43,0
"1988-10",NA,NA,NA,NA,59,59,0,59,59,0
"1988-11",NA,NA,NA,NA,57,57,0,57,57,0
"1988-12",NA,NA,NA,NA,56,56,0,56,56,0
"1989-01",NA,NA,NA,NA,52,52,0,52,52,0
"1989-02",NA,NA,NA,NA,45,45,0,45,45,0
"1989-03",NA,NA,NA,NA,54,54,0,54,54,0
"1989-04",NA,NA,NA,NA,341,341,0,341,341,0
"1989-05",NA,NA,NA,NA,4554,4554,0,4554,4554,0
"1989-06",NA,NA,NA,NA,5053,5053,0,5053,5053,0
"1989-07",NA,NA,NA,NA,640,640,0,640,640,0
"1989-08",NA,NA,NA,NA,84,84,0,84,84,0
"1989-09",NA,NA,NA,NA,43,0,43,43,0,43
"1989-10",NA,NA,NA,NA,59,0,59,59,0,59
"1989-11",NA,NA,NA,NA,57,57,0,57,57,0
"1989-12",NA,NA,NA,NA,56,56,0,56,56,0
"1990-01",NA,NA,NA,NA,52,52,0,52,52,0
"1990-02",NA,NA,NA,NA,45,45,0,45,45,0
"1990-03",NA,NA,NA,NA,54,54,0,54,54,0
"1990-04",NA,NA,NA,NA,341,341,0,341,341,0
"1990-05",NA,NA,NA,NA,4554,4554,0,4554,4554,0
"1990-06",NA,NA,NA,NA,5053,5053,0,5053,5053,0
"1990-07",NA,NA,NA,NA,640,640,0,640,640,0
"1990-08",NA,NA,NA,NA,84,0,84,84,0,84
"1990-09",NA,NA,NA,NA,43,0,43,43,0,43
"1990-10",NA,NA,NA,NA,59,0,59,59,0,59
"1990-11",NA,NA,NA,NA,57,57,0,57,57,0
"1990-12",NA,NA,NA,NA,56,56,0,56,56,0
"1991-01",NA,NA,NA,NA,52,52,0,52,52,0
"1991-02",NA,NA,NA,NA,45,45,0,45,45,0
"1991-03",NA,NA,NA,NA,54,54,0,54,54,0
"1991-04",NA,NA,NA,NA,341,341,0,341,341,0
"1991-05",NA,NA,NA,NA,4554,4554,0,4554,4554,0
"1991-06",NA,NA,NA,NA,5053,5053,0,5053,5053,0
"1991-07",NA,NA,NA,NA,640,640,0,640,640,0
"1991-08",NA,NA,NA,NA,84,84,0,84,84,0
"1991-09",NA,NA,NA,NA,43,43,0,43,43,0
"1991-10",NA,NA,NA,NA,59,0,59,59,0,59
"1991-11",NA,NA,NA,NA,57,57,0,57,57,0
"1991-12",NA,NA,NA,NA,56,56,0,56,56,0
"1992-01",NA,NA,NA,NA,52,52,0,52,52,0
"1992-02",NA,NA,NA,NA,45,45,0,45,45,0
"1992-03",NA,NA,NA,NA,54,54,0,54,54,0
"1992-04",NA,NA,NA,NA,341,341,0,341,341,0
"1992-05",NA,NA,NA,NA,4554,4554,0,4554,4554,0
"1992-06",NA,NA,NA,NA,5053,5053,0,5053,5053,0
"1992-07",NA,NA,NA,NA,640,640,0,640,640,0
"1992-08",NA,NA,NA,NA,84,84,0,84,84,0
"1992-09",NA,NA,NA,NA,43,0,43,43,0,43
"1992-10",NA,NA,NA,NA,59,0,59,59,0,59
"1992-11",NA,NA,NA,NA,57,57,0,57,57,0
"1992-12",NA,NA,NA,NA,56,56,0,56,56,0
"1993-01",NA,NA,NA,NA,52,52,0,52,52,0
"1993-02",NA,NA,NA,NA,45,45,0,45,45,0
"1993-03",NA,NA,NA,NA,54,54,0,54,54,0
"1993-04",NA,NA,NA,NA,341,341,0,341,341,0
"1993-05",NA,NA,NA,NA,4554,4554,0,4554,4554,0
"1993-06",NA,NA,NA,NA,5053,5053,0,5053,5053,0
"1993-07",NA,NA,NA,NA,640,640,0,640,640,0
"1993-08",NA,NA,NA,NA,84,84,0,84,84,0
"1993-09",NA,NA,NA,NA,43,43,0,43,43,0
"1993-10",NA,NA,NA,NA,59,59,0,59,59,0
"1993-11",NA,NA,NA,NA,57,57,0,57,57,0
"1993-12",NA,NA,NA,NA,56,56,0,56,56,0
"1994-01",NA,NA,NA,NA,52,52,0,52,52,0
"1994-02",NA,NA,NA,NA,45,45,0,45,45,0
"1994-03",NA,NA,NA,NA,54,54,0,54,54,0
"1994-04",NA,NA,NA,NA,341,341,0,341,341,0
"1994-05",NA,NA,NA,NA,4554,4554,0,4554,4554,0
"1994-06",NA,NA,NA,NA,5053,5053,0,5053,5053,0
"1994-07",NA,NA,NA,NA,640,640,0,640,640,0
"1994-08",NA,NA,NA,NA,84,0,84,84,0,84
"1994-09",NA,NA,NA,NA,43,0,43,43,0,43
"1994-10",NA,NA,NA,NA,59,59,0,59,59,0
"1994-11",NA,NA,NA,NA,57,57,0,57,57,0
"1994-12",NA,NA,NA,NA,56,56,0,56,56,0
"1995-01",NA,NA,NA,NA,52,52,0,52,52,0
"1995-02",NA,NA,NA,NA,45,45,0,45,45,0
"1995-03",NA,NA,NA,NA,54,54,0,54,54,0
